Q80XI3	Eif4g3	RAFT
P63028	Tpt1	RAFT
B2RRE7	Otud4	RAFT
P60122	Ruvbl1	RAFT
P63260	Actg1	RAFT
Q9ERU9	Ranbp2	RAFT
Q99L20	Gstt3	RAFT
Q9JHU9	Isyna1	RAFT
P62889	Rpl30	RAFT
P62331	Arf6	RAFT
P26039	Tln1	RAFT
P40237	Cd82	RAFT
Q9QUJ7	Acsl4	RAFT
B2RQC6	Cad	RAFT
P51150	Rab7a	RAFT
Q99LF4	Rtcb	RAFT
Q9DBP5	Cmpk1	RAFT
Q9EPL8	Ipo7	RAFT
Q99JX4	Eif3m	RAFT
Q91WJ8	Fubp1	RAFT
Q7TMK9	Syncrip	RAFT
Q64514	Tpp2	RAFT
P84096	Rhog	RAFT
Q922R8	Pdia6	RAFT
Q9WVA4	Tagln2	RAFT
Q8BK67	Rcc2	RAFT
Q8JZQ9	Eif3b	RAFT
Q8BGQ7	Aars	RAFT
Q9CQT1	Mri1	RAFT
P52293	Kpna2	RAFT
O09172	Gclm	RAFT
Q8C156	Ncaph	RAFT
O70492	Snx3	RAFT
O70325	Gpx4	RAFT
Q9CYN2	Spcs2	RAFT
B2RX14	Zcchc11	RAFT
Q9JKY5	Hip1r	RAFT
Q69ZL1	Fgd6	RAFT
P63242	Eif5a	RAFT
Q8K1B8	Fermt3	RAFT
Q8BMS9	Rassf2	RAFT
O08915	Aip	RAFT
Q3UPF5	Zc3hav1	RAFT
P62334	Psmc6	RAFT
P10711	Tcea1	RAFT
O70252	Hmox2	RAFT
Q64213	Sf1	RAFT
P52479	Usp10	RAFT
Q9D883	U2af1	RAFT
Q8BG32	Psmd11	RAFT
Q9QYE6	Golga5	RAFT
Q8K268	Abcf3	RAFT
P53702	Hccs	RAFT
Q3U9G9	Lbr	RAFT
P25206	Mcm3	RAFT
Q8R1G6	Pdlim2	RAFT
Q6Y7W8	Gigyf2	RAFT
P68510	Ywhah	RAFT
Q5F2E7	Nufip2	RAFT
P19437	Ms4a1	RAFT
Q9WUK4	Rfc2	RAFT
Q8C147	Dock8	RAFT
Q6A028	Swap70	RAFT
Q923G2	Polr2h	RAFT
Q8CIG8	Prmt5	RAFT
Q9WU84	Ccs	RAFT
Q9D3P8	Plgrkt	RAFT
P54823	Ddx6	RAFT
Q9WVM1	Racgap1	RAFT
Q3UJD6	Usp19	RAFT
Q9ERS5	Plekha2	RAFT
P35293	Rab18	RAFT
P11157	Rrm2	RAFT
Q99JI4	Psmd6	RAFT
P61161	Actr2	RAFT
Q9Z1G3	Atp6v1c1	RAFT
